pol,text
positive,No matter the sky is black or blue\u002c no matter there\u2019s stars or moon\u002c as long as ur heart is true\u002c sweet dreams will always be wif u. Gd Nite!
neutral,But i must confess dat i\u2019m watching soccer n reading at e same time leh...
neutral,Ok den u coming my place rite\u002c u noe how to come?
positive,U r just like my friends? I made them feel warm\u002c happy\u002c then make them angry & they cry? Finally they left me? Will u leave 2? I hope not. Really hope so.
negative,Yah bathe liao. Maybe later den eat lor. Now i half dead. Haiz..
neutral,U want our physics project for ref to do formatting?
neutral,since u decide on the timing and place\u002c i think u should also decide where to eat also :p
negative,I extremely tired now. Limbs all no strength. On my way 2 Jap\u002c later have 2 ask abt e exams matter. Quite worried tt I would peng shang tt rude woman. Anyway\u002c..
neutral,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
positive,Thanks Merry X\u2019mas to you too Jianbin\u002c and enjoy the rest of ur holiday! :)
positive,xy:Its ok. But i do intend to watch it w u all hahha... I prefer 11pm show cos need to eat dinner at home\u002c but depends if u all can take it lah...
negative,I never go out tdy... I ate e left over steamboat soup with rice lor... I think i\u2019ll transfer u my 1kg... I so envy u... Haiz...
neutral,K. Did you call me just now ah?
neutral,Tt\u2019s pink... Blue means lover... No light blue... Oh\u002c my fren sent to me\u002cso i forward to my frens oso lor...
negative,Hmmm... I\u2019ll b done ard 230... So if meet u at yck i\u2019ll reach at 3\u002c but u\u2019ll b quite bored waitin lor\u002c if not i go myself lor... Or u can go orchard...
neutral,Are we going to any high class restaurant? I am wearing slipper.
positive,okie thaxx a lot!!
negative,My sis went out wif e car. Think tdy cannot eat lunch wif u. Maybe we just go cycling.
neutral,I\u2019m going 2 orchard now laready me reaching soon. U reaching?
positive,just go la\u002c have fun!
positive,My dear\u002c i m eating with patrick now... How are u? My dear\u002c i miss u very much!
negative,Ã neva tell me how i noe... I\u2019m not at home in da aft wat...
negative,oh boy.. shawn is gonna be so damn disappointed when he finds out lyd has a bf liao...
neutral,Oh btw\u002c wat\u2019s the price they pay u previously ar?
neutral,Ya mine is pdf... But dun have e icon to choose double...
neutral,we are eating here before going..haf u eaten?? wanna join us??
positive,my friend is selling cute gifts for x-mas and v-day at far east plaza (next to the hang ten outlet) every thurs to sat. Do drop by if you are interested. some of the gifts are really nice and sweet. i\u2019ll be helping her out on some of the days. hope to see you all there.
negative,yah\u002c wed i think. But i noe she not free on wed.
positive,Oh... Muz b e jolin tsai\u2019s type of hair colour rite... Aiya\u002c let em get used to it lor\u002c tell em everyone say v nice... Gee...
positive,It\u2019s somethin like nus version of chingay lor... If u wan can go c c lor...
neutral,Yup... I havent been there before... You want to go for the yoga? I can call up to book
neutral,Wat time should we set off? Will b at simei but i feel like coming back 2 bathe but like not enough time hor.
positive,Duno\u002c think they will post in forum tomw lor. Think 7.30\u002c 8pm lor
neutral,Huh so early.. Then Ã¼ having dinner outside izzit?
negative,Hey sorry. Have to meet u at bishan instead as i goin to have lunch earlier. Is that ok?
negative,opss I forget to call you just now
neutral,wanna meet to go study??
neutral,need me help u get anything ?
positive,As in e original myth is solid\u002c & e taiwanese actors r good. Actually quite creative la? Xu Shi Lin blur blur one. Qing Xiao Xiao is like her granny\u002c swindler
neutral,Hey\u002c can u guys make it tdy at 5pm?
neutral,When we confirm when we meeting then we arrange time again.
positive,It is ok. you and me always like this rite? See you love you
neutral,so when do you wan the christmas dinner?? wadever it is\u002c i dun wanna see that fella there ok?
positive,Hey hey.. merry christmas.. so what time is the christmas dinner tonight? who is going too?
neutral,Oh.. Ya. ? come out ? see  mall. G? in  mall & out ? will see kovan interchange. Take 321 there
neutral,u free on sat? go bugis?
negative,Nothing to eat n also no time to go out buy lor... Poor thing rite?
positive,But tution is gd money ah! Tsk tsk... u really shld cut down on ur sauce too much sodium! k go nap... dnr *hugz*
neutral,max is one week\u002c min is depends. if you are coming\u002c how are you going to come?
negative,E 2nd tut harder lor\u002c quite some dunno how to do. She nvr explain properly ah... Cham\u002c i din even go 4 tut...
positive,Hey Lizzie\u002c will pray for you when i wake up tomorrow... May you find strength in the Lord to handle your test... *yawn* Going to bed now... Good n??ght! :-j
neutral,Ha ha i guessed yr house got no visitors ? My dad has a lot of china friends
negative,Den wat other movies\u002c alex and emma ah... I cant go online yet\u002c my sis usin e laptop...
positive,My trip was ok but quite tiring lor. Uni starts today but it\u2019s ok 4 me cos i\u2019m not taking any modules but jus concentrating on my final yr project.
positive,This is Jun Yun your bestest friend. Enjoy ur 1st day of Chinese New Year Marky! Go grab tons of ang bao and share with me hor. ;->
neutral,u ok? wan me to come over now?
negative,So sorry cant reply your sms. cause too busy today.
neutral,you confirm with me one day before can?
negative,U not at home ar? sigh. Due 2 tech fault at Chua Chu Kang e train service will delay 4 10 minutes\u002c & train 2wards JE & Marina BAY will stop. argh! LATE!
positive,then i think its ok la... thanks anyway...
neutral,hey ppl... remember tonite we meetin 7pm at ps lips cafe.. cya.. dun put aeroplane hor.. ;)
neutral,What time are u free?
positive,Thx and i also need ur help to prepare it i have no experience of that :)
neutral,Meet us at kovan mrt lah..We r meeting there at 645pm..See u there..
neutral,Where are you? still on bed blur-blur.
positive,Wat would u like 4 ur birthday?
neutral,Wah... E queue damn long to buy laptops... U goin to buy soon? Beta hurry cos e offer will open to e whole nus tmr onwards...
neutral,Hi\u002c I will wait for u near the DBS bank at b1.
neutral,Hi\u002c can help me to buy snacks from canteen? Will you be in lab by two o\u2019clock?
neutral,E admin building there? I might b slightly earlier... I\u2019ll call u when i\u2019m reaching...
positive,Thank you ! Wish u all the best in ur exams !
neutral,Ok dun be angry\u002c i try to keep some away from them den i give u eat k...
negative,Aiyo... Got nothin to wear... Haiz... Hey u takin maths rite\u002c did u take ma1101r and ma1102r? Cos i\u2019m takin em oso... Den mayb can go lect together...
neutral,U use melody as ur pic right?
neutral,Or u ask they all if next sat can a not. If all of them can make it then i\u2019m ok lor.
neutral,leming last time also like that.
negative,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
negative,Ur dog ar so naughty... Shit on da floor... Then make until all his body got shit... Then gotta bathe him n change da whole mat...
neutral,I just woke up. So wat time u free to come out?
neutral,I was thinking going to popular to buy some folder.
negative,U meet other fren dun wan meet me ah... Muz b a guy rite...
neutral,hi\u002c pam asked us whether we want to catch infernal affairs 3 sometime next week?
neutral,Oh... Icic... K lor\u002c den meet other day...
negative,Nope... Think i will go for it on monday... Sorry i replied so late
neutral,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
negative,Oh.. It\u2019s going to be painful...
neutral,Very far from mrt lei... Ã on da bus oredi... I\u2019ll buy tmr...
neutral,U can call now...
neutral,I oso dunno\u002c or maybe can go walk walk near my house shopping mall like parkway.
positive,orh ok..nvm\u002c there will still b chances. all  best 4 ur match! wish u an early merry xmas! ?
neutral,I bath then go over?
positive,Can... Best is u eat until fat fat\u002c haha...
neutral,we going for jap food at bugis 2nite u wanna join us?
neutral,At lab now. Just lok for me after meeting\u002c i wait you.
negative,Nothin comes to my mind. Ã help me buy hanger lor. Ur laptop not heavy?
neutral,Are you still in office?
neutral,Ok i also wan 2 watch e 9 pm show...
positive,As long as you try your best\u002c others can only listen to fate liao......
positive,Kaiez... Hope there\u2019s no jam...
neutral,Havent stuck at orchard in my dad\u2019s car. Going 4 dinner now. U leh? So r they free tonight?
neutral,I finished my lunch already. U wake up already?
neutral,630 but i will be late so since you know e place. You lead them there first hor.
neutral,Den wat colour they picked 4 u... U still there ah\u002c they take so long... So did u get ur hall?
neutral,butter\u002c almond and peanuts...buy some from me lah...hehe
neutral,U noe of any gd Secondary Maths tutor willing to teach student in AMK area?
neutral,Hey gal... U goin 4 jy\u2019s play today?...If yes rem to bring my ring hor...
neutral,She juz woke up and she\u2019s at her bf hse now... She said she\u2019ll thk where to eat den call me back...
negative,...... hmm... really have to resign to fate mah... if its not meant to b\u002c it\u2019ll not b yours also... sighz...
positive,my friends  and i  in a chat session discussing abt her  ambitious
neutral,mother\u2019s not cooking... today go out eat.
negative,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.
negative,No lah\u002c she didnt expect us to be so fast\u002c cos they took months to get together.
neutral,Click on ma1101\u002c then they will show all the papers. Click on the paper Ã¼ wish to view. Then on the window they will ask Ã¼ whether Ã¼ wish to view it\u002c then Ã¼
negative,Hmmm... Dun have... Thk toa payoh got... Troublesome 4 u anot\u002c cos u still have to cut cake. Or u wan another day instead...
positive,My dear\u002c i m still having meeting... Add oil\u002c will pray for u...
negative,hey i think i cannot finish the prototype tonight. can I jus bring during the next meeting? Thanks. See ya...
neutral,r u going to lecture?
positive,Actually today I wanted to mail you a present.. It\u2019s sooo cute! Confirm will make you smile... But the stupid postman asked me to get out of the mailbox..
neutral,Can i meet Ã¼ at 5.. As 4 where depends on where Ã¼ wan 2 in lor..
negative,I\u2019ve tried to send u email several times\u002c but always got rejected.
positive,haha like real...wat makes u tink tat he will do my bidding huh?
negative,Ã dun need to pick ur gf?
neutral,By nets or cheque\u002c need to pay at RELC BUREAU\\u002c near orchard ShangRiLa hotel
positive,Of course got use lah. U must jia you k. 2 more days and u can enjoy liao oh. :-)
positive,All e best 4 ur driving tmr :-)
neutral,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
neutral,Erm.. up to you. I will prefer to borrow it though. Lord of the Rings how? Shangbin doesn\u2019t want to join us because he has watched it.
negative,i dun think i will be going..caus i have to hand in my first hyp draft on mon...streszzzz
neutral,wow. you also join the trend of mlm sia. i had listen to some too.But not interested in any yet.Can la lets meet any time.
neutral,I wanted to say that to you on saturday but since you want me to say it to you now... I\u2019ll say...
positive,This is just to test whether this function is working as it seems to be for the honours year project of Analysis of SMS efficiency
positive,Yup! Tomorrow\u2019s match is very important. If we win it we\u2019ll definitely get into round 2...
neutral,ok..ready..will go in an hrs time :D
positive,Hmmm... U wan i lend it to u lor\u002c thk i dun nd la\u002c i wan my notes more... Gee... Oh\u002c e coasters 4 cow u wana share? I was thkin of gettin cups 4 her too...
neutral,this sat wan play tennis?
negative,Sorry but personally I think this guy performance 2day is not beta than last few weeks. Yuh v. tou ru\u002c but Daniel is beta Later tt stupid Xing Qing? V. funny.
positive,Let me c... Wat exactly will our BDAE GAL be doing on next wed? hmm... kekeke... looks like i definitely haf to be free on such a joyous day liao
positive,SEnding a hug to make u feel warm. A smile to make sure u rem me & to wish you good nitez. Sweet dreams!
positive,Happy 22nd birthday... May all ur wishes come true\u002c stay pretty all time\u002c successes in ur career\u002c romances fall on u... Stay happy n enjoy ur birthday...
neutral,I live pasir ris la. And now i not at home. I am in the north.
positive,My dear\u002c i m listening to e lecture on interview and resume... My dear\u002c hope that u can study la... I will pray for u...
positive,Hi\u002c this is Nigel. I\u2019ll like to wish u a belated merry x\u2019mas. I was hoping we could meet up for a reunion dinner this sat (3 jan 04) at marina south steamboat. So pls confirm with me by wed (31 dec) whether you and your partner will be joining us. Please feel free to call me if you have any queries or suggestions. Thanks.
negative,Dun put words into my mouth\u002c i din say dat. No matter wat becomes of u i still wan k. But dun break e bed. Aiyar dun crap already lar u. Say until i hungry.
negative,Did i really scold u? I\u2019m sorry\u002c i didnt mean it. U give me his num\u002c i go scold him. Yah\u002c tmr going to school in e morning den go work aft tut.
neutral,I\u2019m watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
neutral,Okie... Then meet at orchard...
positive,don\u2019t worry dear\u002c just go and enjoy yourself first..take it as a break
neutral,But i\u2019ll be in school to do some work lor.
neutral,Aiyo... Ok... If tis wkend u free den can go out lor...
neutral,where u going?
neutral,Yup i\u2019m elaborating on the safety aspects and some other issues..
negative,So sorry woke up too late. then forgot to open my hand fon
neutral,Really... Got difference one meh... So how\u2019s ur roommate?
neutral,When u all wan 2 c?
negative,Yah still in office.. I thought how come u never reply me\u002c make me so worried\u002c den i thought u might be driving so didnt want to call u.
positive,Think u having e post-attach syndrome (like me hahh)..relax lah..just enjoy e feeling of having somebody dote on u n reciprocate e feeling if u can..
positive,Only leona and Shuhui noe me mah. Lucky e guys dunno me.
positive,Cakkavala is FAR? hahaha... oh\u002c first time heard this from u
negative,..relatives just now. Long time no c liao\u002c some cousins v. old liao\u002c & really distant. Duno what 2 say 2 them. Even Shiying I also dunno what 2 talk with her?
neutral,Just now i heard thunder but e sky still looks ok. Hee.. If really rain den i no need to run liao\u002c i also lazy but no choice have to force myself to run.
negative,this is crazy man! everyone is playin gunbound! the whole world is playin tt stupid game!!!!!!!
neutral,Hey... So how... I\u2019m still in town leh... Thk i\u2019ll b done at 3... Cant go yck in time... Paiseh...
positive,hey guys\u002c result out by today huh? dun mind tell me ya result
neutral,Hee.. Just wake up not long ago. Going to office soon. So u having ur lunch now?
neutral,Sure!keke keke..will u b meeting sy when u back 2 johor? if have i\u2019ll pass u her bday n xmas gift.
neutral,i am going dinner with my friends. U study hard-hard ok. What are u doing? Very tired? Had ur dinner? Take care see u
neutral,ya see Ã¼ soon... must really meet up!
neutral,Hmmm... Thk d lor\u002c biscuit... Although i dunno wat kind of biscuit is tt... Never hear b4...
positive,happy birthday dear wendy! hope everything turns out well in your life!
neutral,Hi.. Erm.. abt d camera\u002c is it possible 4 me 2 make checks on d camera 1st b4 buying? Erm can i meet u at somewhere tt got pc so tt can check got dead pixels?
neutral,I saw hello kitty cushion... Ard 20 bucks...U wan?
negative,Me cant sleep last night. Ok lor go now. But if 2 bored we go off. U need 2 buy dinner back today?
neutral,okie lor... be sure to call me man
positive,Hey... Gd luck k\u002c a bit late la\u002c but juz woke up... Hey so later eng at e same class room rite... Cya...
neutral,u always like that one... always bully me
negative,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
positive,hey\u002cgen wants to club tmr..Ã¼ gals interested?
neutral,Hmmm... I thk it\u2019s not bad la... I dun mind tpy lor...
positive,Heehee.. So touching.  U so nice and thoughtful.. I hope i didnt spread e germs to u..
negative,Wow\u002c that\u2019s an difficult question. Why don\u2019t you search out the Dhamma books for the answer? Can I write you in email?
neutral,the program can run without the cd right?
neutral,Erm... you stay which area ar? cos she wana meet me 11am at tanah merah mrt station n she\u2019s bringing her laptop for testing.. juz see if u free anot...
neutral,So Ã¼ pay first lar... Then when is da stock comin...
positive,Hmmm\u002c thk she\u2019s used to me forgetin everyone\u2019s bd oredi... Haha\u002c not bad \u002c ur bd got pretty gals to company...
neutral,If u sad should say mah\u002c then i will go. Aiyah actually if u all say earlier then i go out earlier can liao\u002c but now drag till so late. Tomw i duno leh\u002c ask shuhui go ask ron then she didnt reply. I helping e pre company do some translation then tomw need give my cousin tuition.
negative,hey where is the tiramisu u promised? when is ur last day of exam? long time no c u liao...
positive,No lah. I got something on also. Lol thanx...
negative,Shuhui not free lah.. So where r u eating?
neutral,Erhm\u002c just 500 bucks. Then again\u002cthat\u2019s way beyond wad i can possibly get! haha\u002c catch up with you again
positive,Hmmm... I\u2019ll try spinelli\u2019s\u002c nydc all there places lor... Haha\u002c u wana join me...
positive,merry christmas.. take care of urself ya
positive,Erm but it\u2019ll have some moderation according to how your catch performs n also yr1 lesser weightage so you still have chance la... dun lose hope yet...
neutral,Tmr timin still da same wat cos i got lesson until 6...
positive,haha i will try the cake today...
neutral,Hey... Thk we juz go accordin to wat we discussed yest lor\u002c except no kb on sun... Cos there\u2019s nt much lesson to go if we attend kb on sat...
negative,Duno lah\u002c nobody tell me. Why lido? What time?
neutral,I m eating with tze eng and friends... How are u have u eaten lunch?
neutral,you still have chinese tradition
neutral,Ok. Leona not  free shuhui haven reply. We meet late aft noon\u002c we confirm later again. Ok.
positive,Hey... Did u noe tis sat got class outin\u002c celebrate jojo\u2019s bdae... At west coast park... Pls msg me whether u r goin anot...
neutral,Free on this Tuesday for a business strategie?
positive,don\u2019t worry too much. i wanted to say just now\u002c you can take it to God in prayer. ??
negative,me in class now. wats up ? cannot talk. call u when i finish
positive,From a stranger\u002c to an acquaintance\u002c 2 a friend\u002c u presented e  best memories and as god adds years to my life u added life  to my years
positive,Kor\u002c bravo! welcome home and we love you very much!
positive,Enjoying ur dinner? I just had my dinner at home.. So did they tease u?
neutral,U alone? Ask ur dad to fetch u. If really stuck at mrt\u002c den i see whether my dad car ard i go fetch u home lor.
neutral,Ailing\u002c wad u doing today? Wanna go out?
positive,Yah going to rain soon. I just reach office\u002c but lucky i drive.
neutral,Haha... Go la... It ends tmr.. Else i wun wanna go today too... Where u now?
positive,the potluck on tuesday can? everyone can make it except xinyi and \u2019he who must not be named\u2019. hehe
neutral,Hey zen... Sharis here... I\u2019ve made an appt 4 haircut at 2pm\u002c together w 2 of my frens....
neutral,hello there...r u free for lunch 2day?
neutral,Wat time do u wan 2 meet me later?
neutral,Shuhui say go chomp chomp eat. Then aft t mayb go movie or ktv. Later she pick me ard 6 then i msg u.
positive,Oh ok... Same fate...Thk our timetable sux... But at least my tut is taught by e other lecturer\u002c he\u2019s quite nice...
neutral,its a MUD\u002c like LORD and Kingdoms we played back in hwachong
negative,Tell u\u002c shuhui coming later or not coming at all. I scare wait hor only left e 2 of us.
positive,thank u nel. eh on for friday k? meet u all at around 6pm at bugis mrt
negative,Howdy Hemdi\u002c I have bad news for you regarding 3214!
negative,I\u2019m not so lucky... Got my slot on sat9-10... Quite waste time\u002c cos tt\u2019s my only session...
positive,hi kate\u002c can we meet at 2.30 instead at bk causeway point? Thanks
neutral,Yupz... Nvm\u002c i\u2019ll just wait there...
neutral,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i\u2019m done she\u2019s styling my hair now.
positive,hi! i\u2019m goin to india for hols today! hav a Merry Christmas n Happy New Year! :)
negative,I think it is e rain\u002c now make me a bit feverish.
neutral,Ok. I call ur house later.
positive,Now sleeping lor\u002c if dun think i\u2019ll keep thinking of you... Haha.. So by sleeping can at least hope of dreaming you.. :-)
neutral,Hey gals...U all wanna meet 4 dinner at nÃ¬te?
neutral,U call me after u finish ur dinner\u002c den see where am i or i go ur house n pick u.
neutral,Never mind. ten o'clock I will sleep. you have take care yourself and concentrate your study ok. bye good night
negative,If u sending her home first it\u2019s ok lor. I\u2019m not ready yet.
neutral,U attend ur driving lesson how many times a wk n which day?
neutral,girl\u002c what time is dance tomorrow?
positive,Yah bring it along\u002c thanx. Actually i ate on sat with yj\u002c and we waited for 1 hr\u002c but we take e q num and go elsewhere 1st. Tmr weekday shld not be dat long.
neutral,I oso wont stay 4 too long lor... I leave w u lor... Haha\u002c or menghong is comin to pick u...
neutral,Is it. Then go down ask lor.
neutral,Ok... Then r we meeting later?
negative,He said that we were unsynchronised and choreo is not good.
neutral,we are meeting together on monday at 7.30 pm for tea/dinner. do you want to come along and join us? he is leaving for US soon
positive,Hmmm.. Thk sure got time to hop ard... Ya\u002c can go 4 free abt... Muz call u to discuss liao...
neutral,Just asking only\u002c if tmr not meeting for dinner\u002c den u eat wat? Cos i not sure my aunt there got cook or not?
negative,Hey pink... Xin cant make it 4 facial... But u comin rite... My sis  will b goin oso...
neutral,heh how have u been?
positive,Hmm him without clothes... Then get e 2nd most... Think pic of him w clothes is much much better then w/o i dont wan ppl think i hv a crazy bf
neutral,Anything .. But i can only meet u all till 9 plus only ..
positive,hey we will miss you terribly when you are gone.. all those great classic jokes... sigh! lookin forward to seeing you in holland next june!
neutral,eh.. wat u doin for xmas eve? ill b havin a house party at my place. feel free to come?
neutral,going to the PO later. bz
positive,Mm.. what last day? We r still best friends? 4ever\u002c & u r going 2 tell me u dun believe in Friends 4ever\u002c but I believe. 4ever? u will be my best friend.
negative,I tot I dun want 2 squeeze w e pple in MRT\u002c so I take 97. Who noes e bus is so slow\u002c like traffic jam like that. ARGH! Will be even more late. SorrySorrySorry..
negative,Horrible gal. Me in sch doing some stuff. How come u got mc?
neutral,dun forget it\u2019s your turn to cook next week hor.
positive,1.Hey is space in your group still available
positive,Sat right? Okay thanks...
neutral,Can meet 4 dinner then chit chat a bit lor... Up 2 u lor since u already outside... Can u make e decision...
neutral,i thought u going to sch to check smthing?
neutral,They usually cut lk my sis kind lor\u002c u can tell em wat u wan... Hmmm\u002c den u thk abt it lor\u002c but msg me k...
neutral,Wa\u002c so late den enlisted ah... Civil defence not bad wat...My sch term starts nxt wk... Enjoy ur wkend den...
neutral,yeah... then i will go decide on the timing and place k... u just seat back and relac
positive,yuh\u002c maybe u can bring e laptop lor. 2molo en decide where 2 do it lor. DREAMZ FM new song! Not bad!
neutral,I just came back. I go bath first den call u k.
positive,still within His control. then i don\u2019t feel so bad anymore. :)
positive,Ok\u002c have a good rest let me noe when will be suitable to bai nian la...
neutral,Free any day but i finish at 6 on mon n thurs...
neutral,Okie\u002c meet at clementi mrt in half an hrs time..
neutral,I\u2019m going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
negative,My strawberry left not much... Haha... Think u dun have e kou fu already...
neutral,geylang is far lo
neutral,what time are we meeting tomorrow?
neutral,hi. can u make it 10am mac east coast on thur and then we meet sl and ee at 1pm bugis after cycle..
positive,hey i am thinking of upgrading my pc. any good lobang anot?
neutral,Okie lor... Cya in class later\u002c save a seat 4 me k... :)
neutral,Just finished my dinner. My sister come to Singapore tonight but I also cant meet her. Too busy loh. what to do have to work. Have your dinner? What are you doing
negative,Ya lor... Oso dunno how\u002c have to juggle both... There\u2019s no dates available 4 dec oso...
neutral,Erm... wat type of qualifications one you wan?
neutral,xy:Should be lor\u002c need to buy the christmas present haiz...
positive,should be can.. provided i get up on time..heehee.. by the way\u002c mass or indivdual one ah?
positive,hey i got an idea! why dun you bring a bottle of red wine instead for tomorrow?
negative,Can we meet next wk as i\u2019m not feeling well.
neutral,How come she can get it? Should b quite diff to guess rite...
negative,cannot see u?
positive,Read e forum page in e strait times on an article entittled money\u002cmoney it\u2019s a rich man woes by an investor from erc.Gd article pass it on.
neutral,where u wanna go?? bugis or orchard??
positive,Okies\u002c no problem. See ya there!
neutral,Hey whats bigger then an integer but smaller than a float? s
neutral,when I try to log in\u002c they say close already
neutral,Old age lar... I neva feed water but got feed carrot... Wasted i juz bot a pack of carrot... Feed to millian...
positive,I\u2019m home... Thanks for sending me back.. Quick go hm n rest... Take care!
negative,Heh? Then ur mum not working ah? Or ur dad will be at hm? Sob... I very bored... Else i go ur hse?
neutral,Really he din say... He only told me after i msg u... Then wat u doing now?
neutral,Hey xin... I\u2019ll go shop w u tmr... I wan go far east buy bottom...
neutral,Think my mum is working
positive,I dun mind. You din feel very well must need to rest. good nite
neutral,err...i dun think so ler...maybe u should ask office n c how they say lor?
negative,Emergency! My PC really got prob! U must print E project final. & remember 2 add e note without e NOTE. soRRY.
neutral,U hv 2 upload or use tomcat its a program t act as a server offline.
negative,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
positive,He bleached cos he wans to colour it w another colour rite... Dun worry la\u002c wont b too bad one lor..
neutral,Sigh...... but no matter wat you still have to do your best even if dun depend on your fate....
neutral,qy and eileen going for latin dance classes leh...u want b my partner?
neutral,I chose tuesday and friday slots. What time are you free today? I may be going to Tampines\u002c then on the way can go and collect the book from you.
neutral,Oh yes... did he get the job?
positive,tis is an interesting project you are doin... :P
negative,tell u a embras thing jus nw\u002c i play a slow music in a middle of dance son\u002cd morale of d crowd suddenly go blur\u002cand they boo me they punish me drink 1 jar
positive,Wow! That\u2019s very good!
positive,Din noe u lk soccer so much...Leadin a tai tai life now\u002c not too bad\u002c haha... Finally din hear u complain abt camp life...
negative,I thgt u said it\u2019s at lt 32... So i\u2019m a bit confused lor...
neutral,Do u wan to join us on wed? Goin to expo.
neutral,if u wan to join us after your meeting just give either of us a call
positive,U guys watch liao\u002c u wana watch twice meh... Not too bad to watch alone oso la...
negative,He can bath meh... Hiyo... Thk he dun lk to change place...
neutral,Ard 530 like dat lor. We juz meet in mrt station then Ã¼ dun haf to come out.
neutral,Den tonite u got to work longer lor..
positive,Hee.. Okie.. If he cut not nice i go back cut all his hair..
negative,Ya... But e only bad thg is tt there\u2019s no loan given\u002c it\u2019s cash and carry lor...
positive,Take ur time. I seldom log in also. No hurry. Today sch reopen ah\u002c ok hope u hv a nice school start
positive,Just heard star trek enterprise theme song\u002c faith of the heart... superb
neutral,Results are out. Check out our 3214....
positive,Yuh so funny. Dun feel bad abt me. As I say I wont go home. I wont let u do silly things b4 me.. BYE.
positive,Thank you my dear friend..so sweet of you ! Have a good year ahead!
positive,let\u2019s mit this sat for lunch? N since zhiyan already noe what to get. u\u2019ll buy e present? :) thanks! Any idea on where to go?
neutral,woman. later when you reach orchard\u002c give me a sms.
negative,dun kaypoh ok. i hate kaypoh pple. they r so irritatin
neutral,I thk so but i\u2019ll need it anyway when i start work next year... Or 4 my proj presentation?
negative,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
positive,U meet us tmr la... Anyway u got ur classmates w u\u002c go a bit extra leh...
neutral,I wake up long ago already... Dunno\u002c what other thing?
neutral,Hmmm... But where u wana meet me first...
neutral,Hi. I wear normal clothes hor. Nothing fancy.
negative,sure or not ? dont bluff me lehz
neutral,Darren say u and him together already ... Izzit true ?
neutral,Just eat at home loh.. When you done then meet.. Anyway meet before dinner seemed very early then all of us won\u2019t know where to go..
negative,Hey gal I\u2019m really sorrie but the job tmlo has been cancelled... the guy managed to get someone who can work the hrs he wants.
neutral,Can\u002c but meet so early?
neutral,Think tonite not many show. We watch tom. Den tonite we go elsewhere lor.
negative,argh! i went to the wrong lt\u002c now going to lt33.
neutral,Hey tmr meet at bugis 930 ?
neutral,No lah\u002c my parent sitting at mac drink coffee n read newspaper...
negative,i think maybe yck loh.still need to go ch so troublesome..
neutral,I\u2019m free till 11 40... But i\u2019m at alumni house... How?
positive,later on wanna catch a movie?
negative,I went to ur hon lab but no one is there.
neutral,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
positive,ok\u002c see you there later.
neutral,Two messages come together. Er... Wait for me for a while. Get changed and see you where?
neutral,So basically U want me to write for the heartalk and wisetalk lar?
neutral,There\u2019s no prac tomoro. Those who can avail themselves for the meeting please sms me once you c this.
neutral,Hey... U called me izit... Was sleepin juz now. I downloaded e file oredi\u002c so how\u002c u wan me to print 4 u?
neutral,What did you get for 14?
neutral,jus back from dinner.. watcha doing? hope ur mind is occupied.
negative,Huh\u002c so lonely ah... I think i not eating lunch lor...
neutral,pass to u tomorrow
neutral,Hey pink... Izit e fujitsu s series will come to sch nxt wk? Cos i heard frm xin lor. I thgt of gettin it but got no loan now...
neutral,My dear\u002c i m still having lecture... U add oil for your project too... I miss u
neutral,anybody wanna watch LOTR tmr? we\u2019ll go for the earliest slot??
neutral,How much r Ã¼ willing to pay?
neutral,Hey! Wanna watch lords of the ring?
neutral,We can go 4 e normal pilates after our intro...
positive,ok! see you then
positive,My dear\u002c thanks 4 yr care. ? hope u can sleep well tonight! ?
neutral,Shall i get my pouch?
neutral,Ok then u tell me wat time u coming later lor.
neutral,u busy now?? wanna chat on phone?
negative,Still very tired your sister have ask you something?
neutral,Hey u still dyin hair ah... I\u2019m goin to orchard now...
negative,I can\u2019t call you guys.. I\u2019m still downloading the stuff\u002c got prob.. dunno when i can come.
positive,good lucks for tomorrow too! :P
neutral,I call u when i abt to leave k\u002c think i\u2019ll be bit late.
neutral,Ok ... I can go out with u before 9 ...
positive,hey\u002c good luck for exams! hope u pass with flying colours!
negative,No lah\u002c yest took some photo\u002c den now do some editing and burn into my cd\u002c them complain i never give them e photo dat we took before..
neutral,Wah... Tmr 9 muz reach sch oredi... Haiz.... So i meet u at 850 lk tt k...
neutral,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i\u2019m picking her up at ard 4 smth lor..
negative,Ya lor... Quite scared tmr get blocked\u002c dunno wat to write...my editin lk shit oso... Cya tmr...
